"Date","coredata.air_poll_monthly."
2010-01-31,87.1444444386667
2010-02-28,98.2641369035714
2010-03-31,98.8864247309677
2010-04-30,79.8847222183333
2010-05-31,86.9106182777419
2010-06-30,110.713194447667
2010-07-31,123.647849464516
2010-08-31,100.380376350968
2010-09-30,99.8111111082
2010-10-31,118.748655911935
2010-11-30,130.899999997
2010-12-31,97.3333333287097
2011-01-31,43.4180107541935
2011-02-28,150.321428567857
2011-03-31,61.4919354829032
2011-04-30,86.76180556
2011-05-31,66.6680107548387
2011-06-30,107.802777778667
2011-07-31,107.552125333871
2011-08-31,100.84706821
2011-09-30,95.5375000023333
2011-10-31,139.600806449355
2011-11-30,110.250694441
2011-12-31,108.397177424194
2012-01-31,121.716397851613
2012-02-29,85.0186781613793
2012-03-31,96.6834677432258
2012-04-30,87.431944448
2012-05-31,93.3568548387097
2012-06-30,96.3736111123333
2012-07-31,80.4307795709677
2012-08-31,79.9899193529032
2012-09-30,60.0256944423333
2012-10-31,94.9623655932258
2012-11-30,86.6888888933333
2012-12-31,109.221102152581
2013-01-31,193.876344080968
2013-02-28,123.635416668214
2013-03-31,123.368279573871
2013-04-30,66.169444443
2013-05-31,85.9045698948387
2013-06-30,111.213888879
2013-07-31,69.0860215064516
2013-08-31,61.9428763441936
2013-09-30,90.634027778
2013-10-31,106.329301072903
2013-11-30,91.3486111077667
2013-12-31,96.8877688158065
2014-01-31,117.965053768065
2014-02-28,174.665178568464
2014-03-31,110.368951611613
2014-04-30,95.542361112
2014-05-31,72.1075268848387
2014-06-30,58.734027779
2014-07-31,88.7150537677419
2014-08-31,63.2634408577419
2014-09-30,70.129166666
2014-10-31,140.697580642355
2014-11-30,107.9250000068
2014-12-31,80.7997311842903
